month,department,claim_type,claim_status,claim_count,claim_amount,avg_processing_days,aging_0_30,aging_31_60,aging_61_90,aging_90_plus
2024-01,Cardiology,Professional,Submitted,10,5423.49,5.6,9,1,0,0
2024-01,Cardiology,Professional,In Review,13,7040.95,26.7,5,5,2,1
2024-01,Cardiology,Professional,Approved,16,7332.11,18.9,11,4,1,0
2024-01,Cardiology,Professional,Denied,10,4547.67,36.3,1,3,3,3
2024-01,Cardiology,Professional,Paid,42,20536.97,22.8,37,4,1,0
2024-01,Cardiology,Facility,Submitted,8,24949.36,5.7,7,1,0,0
2024-01,Cardiology,Facility,In Review,9,26265.28,22.9,4,3,1,1
2024-01,Cardiology,Facility,Approved,12,32872.06,16.5,9,3,0,0
2024-01,Cardiology,Facility,Denied,8,26595.22,45.3,1,2,3,2
2024-01,Cardiology,Facility,Paid,37,120806.7,20.1,32,4,1,0
2024-01,Cardiology,Pharmacy,Submitted,4,822.58,5.8,4,0,0,0
2024-01,Cardiology,Pharmacy,In Review,7,1372.9,25.1,3,3,1,0
2024-01,Cardiology,Pharmacy,Approved,9,2042.25,18.6,7,2,0,0
2024-01,Cardiology,Pharmacy,Denied,5,902.29,43.2,0,2,2,1
2024-01,Cardiology,Pharmacy,Paid,23,4497.8,21.1,20,3,0,0
2024-01,Cardiology,Lab,Submitted,5,719.76,6.2,5,0,0,0
2024-01,Cardiology,Lab,In Review,6,862.22,22.8,3,2,1,0
2024-01,Cardiology,Lab,Approved,8,1224.59,16.0,6,2,0,0
2024-01,Cardiology,Lab,Denied,5,677.8,42.8,0,2,2,1
2024-01,Cardiology,Lab,Paid,22,3336.07,22.6,19,3,0,0
2024-01,Cardiology,Imaging,Submitted,4,3080.72,6.3,4,0,0,0
2024-01,Cardiology,Imaging,In Review,5,3365.97,23.6,2,2,1,0
2024-01,Cardiology,Imaging,Approved,7,4838.52,17.5,5,2,0,0
2024-01,Cardiology,Imaging,Denied,4,2637.98,44.0,0,1,2,1
2024-01,Cardiology,Imaging,Paid,18,13761.88,19.8,16,2,0,0
2024-01,Orthopedics,Professional,Submitted,8,4042.65,5.8,7,1,0,0
2024-01,Orthopedics,Professional,In Review,14,6365.43,24.4,5,5,3,1
2024-01,Orthopedics,Professional,Approved,16,7956.74,17.9,11,4,1,0
2024-01,Orthopedics,Professional,Denied,10,4373.31,37.2,1,3,3,3
2024-01,Orthopedics,Professional,Paid,41,22626.33,21.5,36,4,1,0
2024-01,Orthopedics,Facility,Submitted,7,19174.27,5.9,6,1,0,0
2024-01,Orthopedics,Facility,In Review,9,32382.14,25.2,4,3,1,1
2024-01,Orthopedics,Facility,Approved,11,40210.11,16.0,8,3,0,0
2024-01,Orthopedics,Facility,Denied,7,24747.91,45.2,1,2,3,1
2024-01,Orthopedics,Facility,Paid,27,77132.51,22.9,24,3,0,0
2024-01,Orthopedics,Pharmacy,Submitted,4,947.0,6.2,4,0,0,0
2024-01,Orthopedics,Pharmacy,In Review,6,1222.23,21.9,3,2,1,0
2024-01,Orthopedics,Pharmacy,Approved,7,1312.72,19.3,5,2,0,0
2024-01,Orthopedics,Pharmacy,Denied,5,1059.56,39.8,0,2,2,1
2024-01,Orthopedics,Pharmacy,Paid,22,5053.69,24.0,19,3,0,0
2024-01,Orthopedics,Lab,Submitted,4,581.97,6.0,4,0,0,0
2024-01,Orthopedics,Lab,In Review,6,840.34,23.4,3,2,1,0
2024-01,Orthopedics,Lab,Approved,7,1020.69,18.2,5,2,0,0
2024-01,Orthopedics,Lab,Denied,4,567.91,38.2,0,1,2,1
2024-01,Orthopedics,Lab,Paid,20,2766.02,24.2,18,2,0,0
2024-01,Orthopedics,Imaging,Submitted,3,2183.73,6.5,3,0,0,0
2024-01,Orthopedics,Imaging,In Review,4,3234.19,24.2,2,2,0,0
2024-01,Orthopedics,Imaging,Approved,6,4333.18,16.0,5,1,0,0
2024-01,Orthopedics,Imaging,Denied,3,2006.78,39.5,0,1,1,1
2024-01,Orthopedics,Imaging,Paid,15,10792.54,19.9,13,2,0,0
2024-01,Pediatrics,Professional,Submitted,11,4790.36,6.2,10,1,0,0
2024-01,Pediatrics,Professional,In Review,15,8024.51,22.3,6,5,3,1
2024-01,Pediatrics,Professional,Approved,19,10148.04,17.1,13,4,2,0
2024-01,Pediatrics,Professional,Denied,12,6553.2,45.4,2,3,4,3
2024-01,Pediatrics,Professional,Paid,55,22986.0,22.5,48,6,1,0
2024-01,Pediatrics,Facility,Submitted,10,28217.62,5.9,9,1,0,0
2024-01,Pediatrics,Facility,In Review,12,34134.47,25.1,5,4,2,1
2024-01,Pediatrics,Facility,Approved,16,48817.14,16.2,11,4,1,0
2024-01,Pediatrics,Facility,Denied,10,28718.41,40.3,1,3,3,3
2024-01,Pediatrics,Facility,Paid,40,145427.84,20.1,35,4,1,0
2024-01,Pediatrics,Pharmacy,Submitted,5,916.55,5.6,5,0,0,0
2024-01,Pediatrics,Pharmacy,In Review,7,1310.97,24.0,3,3,1,0
2024-01,Pediatrics,Pharmacy,Approved,11,2024.03,17.7,8,3,0,0
2024-01,Pediatrics,Pharmacy,Denied,6,1159.54,39.7,1,2,2,1
2024-01,Pediatrics,Pharmacy,Paid,24,4616.84,21.8,21,3,0,0
2024-01,Pediatrics,Lab,Submitted,6,995.18,5.9,5,1,0,0
2024-01,Pediatrics,Lab,In Review,7,961.28,22.5,3,3,1,0
2024-01,Pediatrics,Lab,Approved,9,1146.53,17.8,7,2,0,0
2024-01,Pediatrics,Lab,Denied,6,786.57,43.1,1,2,2,1
2024-01,Pediatrics,Lab,Paid,24,3847.35,20.6,21,3,0,0
2024-01,Pediatrics,Imaging,Submitted,4,2875.94,5.5,4,0,0,0
2024-01,Pediatrics,Imaging,In Review,6,4465.44,22.6,3,2,1,0
2024-01,Pediatrics,Imaging,Approved,7,5689.81,16.0,5,2,0,0
2024-01,Pediatrics,Imaging,Denied,5,3652.12,38.5,0,2,2,1
2024-01,Pediatrics,Imaging,Paid,20,12619.03,23.2,18,2,0,0
2024-01,Radiology,Professional,Submitted,10,4533.43,6.6,9,1,0,0
2024-01,Radiology,Professional,In Review,15,8165.29,24.9,6,5,3,1
2024-01,Radiology,Professional,Approved,19,9065.36,19.8,13,4,2,0
2024-01,Radiology,Professional,Denied,11,5050.42,42.4,1,3,4,3
2024-01,Radiology,Professional,Paid,49,20867.08,21.4,43,5,1,0
2024-01,Radiology,Facility,Submitted,8,24669.51,6.5,7,1,0,0
2024-01,Radiology,Facility,In Review,10,34433.61,21.9,4,3,2,1
2024-01,Radiology,Facility,Approved,14,44538.72,17.0,10,3,1,0
2024-01,Radiology,Facility,Denied,8,23795.79,39.7,1,2,3,2
2024-01,Radiology,Facility,Paid,36,130738.28,22.9,31,4,1,0
2024-01,Radiology,Pharmacy,Submitted,5,1153.38,6.5,5,0,0,0
2024-01,Radiology,Pharmacy,In Review,7,1669.96,23.4,3,3,1,0
2024-01,Radiology,Pharmacy,Approved,10,2394.1,18.9,7,3,0,0
2024-01,Radiology,Pharmacy,Denied,5,1077.13,37.2,0,2,2,1
2024-01,Radiology,Pharmacy,Paid,25,4905.57,23.0,22,3,0,0
2024-01,Radiology,Lab,Submitted,4,561.36,6.2,4,0,0,0
2024-01,Radiology,Lab,In Review,6,785.13,21.3,3,2,1,0
2024-01,Radiology,Lab,Approved,8,1211.92,18.3,6,2,0,0
2024-01,Radiology,Lab,Denied,5,714.28,39.7,0,2,2,1
2024-01,Radiology,Lab,Paid,21,3254.44,21.0,19,2,0,0
2024-01,Radiology,Imaging,Submitted,4,2913.93,6.2,4,0,0,0
2024-01,Radiology,Imaging,In Review,5,3252.38,21.7,2,2,1,0
2024-01,Radiology,Imaging,Approved,7,5547.91,16.6,5,2,0,0
2024-01,Radiology,Imaging,Denied,4,2727.25,41.9,0,1,2,1
2024-01,Radiology,Imaging,Paid,18,13686.1,24.1,16,2,0,0
2024-01,Oncology,Professional,Submitted,7,3420.2,5.7,6,1,0,0
2024-01,Oncology,Professional,In Review,10,4217.5,25.2,4,3,2,1
2024-01,Oncology,Professional,Approved,12,6477.68,18.1,9,3,0,0
2024-01,Oncology,Professional,Denied,7,3690.36,43.7,1,2,3,1
2024-01,Oncology,Professional,Paid,31,16075.72,20.8,27,4,0,0
2024-01,Oncology,Facility,Submitted,5,15126.33,6.0,5,0,0,0
2024-01,Oncology,Facility,In Review,7,24403.98,26.2,3,3,1,0
2024-01,Oncology,Facility,Approved,8,29413.16,16.5,6,2,0,0
2024-01,Oncology,Facility,Denied,5,15900.51,43.9,0,2,2,1
2024-01,Oncology,Facility,Paid,25,85547.35,22.7,22,3,0,0
2024-01,Oncology,Pharmacy,Submitted,3,631.76,5.3,3,0,0,0
2024-01,Oncology,Pharmacy,In Review,4,929.7,25.2,2,2,0,0
2024-01,Oncology,Pharmacy,Approved,6,1218.6,18.1,5,1,0,0
2024-01,Oncology,Pharmacy,Denied,3,607.89,40.7,0,1,1,1
2024-01,Oncology,Pharmacy,Paid,14,2526.55,23.0,13,1,0,0
2024-01,Oncology,Lab,Submitted,3,402.37,6.1,3,0,0,0
2024-01,Oncology,Lab,In Review,4,575.47,24.5,2,2,0,0
2024-01,Oncology,Lab,Approved,4,650.94,16.1,3,1,0,0
2024-01,Oncology,Lab,Denied,3,396.81,41.2,0,1,1,1
2024-01,Oncology,Lab,Paid,12,1927.92,21.5,11,1,0,0
2024-01,Oncology,Imaging,Submitted,2,1232.38,5.9,2,0,0,0
2024-01,Oncology,Imaging,In Review,3,2133.79,26.7,2,1,0,0
2024-01,Oncology,Imaging,Approved,5,4135.32,17.1,4,1,0,0
2024-01,Oncology,Imaging,Denied,3,2196.0,42.1,0,1,1,1
2024-01,Oncology,Imaging,Paid,13,9792.4,24.1,12,1,0,0
2024-01,General Surgery,Professional,Submitted,6,3052.3,6.0,5,1,0,0
2024-01,General Surgery,Professional,In Review,9,4717.66,21.7,4,3,1,1
2024-01,General Surgery,Professional,Approved,10,4180.24,18.0,7,3,0,0
2024-01,General Surgery,Professional,Denied,6,3073.26,41.5,1,2,2,1
2024-01,General Surgery,Professional,Paid,31,13897.01,22.1,27,4,0,0
2024-01,General Surgery,Facility,Submitted,4,11552.02,5.4,4,0,0,0
2024-01,General Surgery,Facility,In Review,5,17469.91,21.7,2,2,1,0
2024-01,General Surgery,Facility,Approved,7,24054.34,19.1,5,2,0,0
2024-01,General Surgery,Facility,Denied,4,11116.64,40.5,0,1,2,1
2024-01,General Surgery,Facility,Paid,17,57652.1,21.2,15,2,0,0
2024-01,General Surgery,Pharmacy,Submitted,3,642.77,5.5,3,0,0,0
2024-01,General Surgery,Pharmacy,In Review,4,731.93,26.7,2,2,0,0
2024-01,General Surgery,Pharmacy,Approved,5,949.74,15.9,4,1,0,0
2024-01,General Surgery,Pharmacy,Denied,3,564.38,38.2,0,1,1,1
2024-01,General Surgery,Pharmacy,Paid,14,3031.03,20.3,13,1,0,0
2024-01,General Surgery,Lab,Submitted,2,331.43,5.3,2,0,0,0
2024-01,General Surgery,Lab,In Review,4,627.5,21.5,2,2,0,0
2024-01,General Surgery,Lab,Approved,4,559.87,19.6,3,1,0,0
2024-01,General Surgery,Lab,Denied,3,455.27,43.8,0,1,1,1
2024-01,General Surgery,Lab,Paid,12,1727.62,22.0,11,1,0,0
2024-01,General Surgery,Imaging,Submitted,2,1593.14,5.3,2,0,0,0
2024-01,General Surgery,Imaging,In Review,3,2354.53,23.1,2,1,0,0
2024-01,General Surgery,Imaging,Approved,4,2609.36,18.1,3,1,0,0
2024-01,General Surgery,Imaging,Denied,3,1881.78,36.4,0,1,1,1
2024-01,General Surgery,Imaging,Paid,10,8185.36,20.8,9,1,0,0
2024-01,Neurology,Professional,Submitted,8,3590.17,6.5,7,1,0,0
2024-01,Neurology,Professional,In Review,11,5298.73,23.6,4,4,2,1
2024-01,Neurology,Professional,Approved,15,7833.05,19.1,11,3,1,0
2024-01,Neurology,Professional,Denied,9,4292.15,44.0,1,3,3,2
2024-01,Neurology,Professional,Paid,39,17100.36,19.6,34,4,1,0
2024-01,Neurology,Facility,Submitted,5,14987.7,6.3,5,0,0,0
2024-01,Neurology,Facility,In Review,6,18366.9,24.7,3,2,1,0
2024-01,Neurology,Facility,Approved,8,28645.94,16.5,6,2,0,0
2024-01,Neurology,Facility,Denied,6,17566.4,45.9,1,2,2,1
2024-01,Neurology,Facility,Paid,24,67223.31,19.7,21,3,0,0
2024-01,Neurology,Pharmacy,Submitted,3,688.51,5.9,3,0,0,0
2024-01,Neurology,Pharmacy,In Review,4,862.5,24.2,2,2,0,0
2024-01,Neurology,Pharmacy,Approved,6,1249.34,18.9,5,1,0,0
2024-01,Neurology,Pharmacy,Denied,4,802.28,36.2,0,1,2,1
2024-01,Neurology,Pharmacy,Paid,14,2987.2,21.2,13,1,0,0
2024-01,Neurology,Lab,Submitted,3,437.66,6.4,3,0,0,0
2024-01,Neurology,Lab,In Review,4,635.63,21.1,2,2,0,0
2024-01,Neurology,Lab,Approved,6,983.47,19.2,5,1,0,0
2024-01,Neurology,Lab,Denied,4,562.07,44.2,0,1,2,1
2024-01,Neurology,Lab,Paid,15,2252.35,19.7,13,2,0,0
2024-01,Neurology,Imaging,Submitted,2,1249.4,6.3,2,0,0,0
2024-01,Neurology,Imaging,In Review,4,3243.19,21.7,2,2,0,0
2024-01,Neurology,Imaging,Approved,5,3133.03,17.9,4,1,0,0
2024-01,Neurology,Imaging,Denied,3,1881.56,36.3,0,1,1,1
2024-01,Neurology,Imaging,Paid,10,7224.34,23.6,9,1,0,0
2024-02,Cardiology,Professional,Submitted,9,4408.84,5.7,8,1,0,0
2024-02,Cardiology,Professional,In Review,14,7626.46,25.9,5,5,3,1
2024-02,Cardiology,Professional,Approved,19,9173.59,19.7,13,4,2,0
2024-02,Cardiology,Professional,Denied,10,4178.42,43.1,1,3,3,3
2024-02,Cardiology,Professional,Paid,41,21997.21,23.3,36,4,1,0
2024-02,Cardiology,Facility,Submitted,7,22306.98,6.4,6,1,0,0
2024-02,Cardiology,Facility,In Review,10,32401.75,25.2,4,3,2,1
2024-02,Cardiology,Facility,Approved,15,51523.73,16.6,11,3,1,0
2024-02,Cardiology,Facility,Denied,9,29566.98,38.0,1,3,3,2
2024-02,Cardiology,Facility,Paid,36,107735.24,20.2,31,4,1,0
2024-02,Cardiology,Pharmacy,Submitted,5,1078.52,5.6,5,0,0,0
2024-02,Cardiology,Pharmacy,In Review,7,1335.6,26.6,3,3,1,0
2024-02,Cardiology,Pharmacy,Approved,8,1691.09,17.4,6,2,0,0
2024-02,Cardiology,Pharmacy,Denied,5,1041.05,44.9,0,2,2,1
2024-02,Cardiology,Pharmacy,Paid,25,4940.12,20.4,22,3,0,0
2024-02,Cardiology,Lab,Submitted,4,527.98,6.5,4,0,0,0
2024-02,Cardiology,Lab,In Review,6,910.04,23.5,3,2,1,0
2024-02,Cardiology,Lab,Approved,8,1048.76,19.4,6,2,0,0
2024-02,Cardiology,Lab,Denied,4,628.42,44.5,0,1,2,1
2024-02,Cardiology,Lab,Paid,22,2730.09,21.1,19,3,0,0
2024-02,Cardiology,Imaging,Submitted,4,3242.21,5.9,4,0,0,0
2024-02,Cardiology,Imaging,In Review,5,3236.5,23.6,2,2,1,0
2024-02,Cardiology,Imaging,Approved,6,4634.27,16.7,5,1,0,0
2024-02,Cardiology,Imaging,Denied,4,3117.8,41.9,0,1,2,1
2024-02,Cardiology,Imaging,Paid,15,9187.24,22.3,13,2,0,0
2024-02,Orthopedics,Professional,Submitted,9,4467.22,5.7,8,1,0,0
2024-02,Orthopedics,Professional,In Review,13,6013.99,22.5,5,5,2,1
2024-02,Orthopedics,Professional,Approved,15,6631.62,16.2,11,3,1,0
2024-02,Orthopedics,Professional,Denied,10,5378.81,44.8,1,3,3,3
